"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",733,208,5.56380471286178,2.74488776488539,0.222543498125956
"2",743,221,5.49587522672611,2.00591004146296,0.250524781942772
"3",760,221,5.1472688172637,2.00591004146296,0.244845619166564
"4",760,221,5.1472688172637,2.00591004146296,0.238758288159003
"5",744,241,4.57665818760468,2.23368298840706,0.237452384369462
"6",744,212,4.57665818760468,2.53889567397249,0.238109799935587
"7",744,237,4.57665818760468,2.40341385196004,0.267509567826502
"8",744,237,4.57665818760468,2.40341385196004,0.246765142831042
"9",744,222,4.57665818760468,2.46696256613586,0.237104673756266
"10",744,206,4.57665818760468,1.83040030115379,0.237871051070366
"11",737,218,5.6966266217318,2.33973426582875,0.240793107893962
"12",781,209,5.9912220725396,1.88548227808081,0.276225413372191
"13",798,209,4.59124963156017,1.88548227808081,0.247824643198045
"14",798,209,4.59124963156017,1.88548227808081,0.238282033176836
"15",797,219,4.28680271493223,1.6233188410669,0.242450257592049
"16",800,219,3.83476654999321,1.6233188410669,0.253174901765832
"17",800,219,3.83476654999321,1.6233188410669,0.240300889047431
"18",800,219,3.83476654999321,1.6233188410669,0.236310247131331
"19",800,219,3.83476654999321,1.6233188410669,0.241098795802353
"20",768,219,3.86561106098045,1.6233188410669,0.233438124079242
"21",768,219,3.86561106098045,1.6233188410669,0.242929780508429
"22",768,219,3.86561106098045,1.6233188410669,0.235562199661617
"23",768,219,3.86561106098045,1.6233188410669,0.232140499852458
"24",768,219,3.86561106098045,1.6233188410669,0.257176840544204
"25",768,219,3.86561106098045,1.6233188410669,0.254191784321027
"26",768,219,3.86561106098045,1.6233188410669,0.232577381937008
"27",768,219,3.86561106098045,1.6233188410669,0.252117591826858
"28",768,223,3.86561106098045,1.80050218250383,0.260883713410715
"29",748,230,4.31735386149352,1.90917794569218,0.245327335015331
"30",748,216,4.31735386149352,1.87020327156996,0.23699795430762
"31",748,216,4.31735386149352,1.87020327156996,0.258177468752579
"32",748,216,4.31735386149352,1.87020327156996,0.257161306588019
"33",748,216,4.31735386149352,1.87020327156996,0.227414934481952
"34",730,230,4.47109591058169,2.26890556285684,0.231536416477708
"35",726,227,3.84474501559196,1.89679029330835,0.255616505100009
"36",726,227,3.84474501559196,1.89679029330835,0.269226652758586
"37",726,208,3.84474501559196,1.91661461882877,0.240625106886529
"38",726,210,3.84474501559196,2.09366774363626,0.251119505414672
"39",726,194,3.84474501559196,1.8378415585876,0.240575857749119
"40",726,194,3.84474501559196,1.8378415585876,0.232701528255634
"41",726,194,3.84474501559196,1.8378415585876,0.263465308275478
"42",726,194,3.84474501559196,1.8378415585876,0.235926164431311
"43",726,205,3.84474501559196,1.64718045112782,0.238688087017928
"44",726,205,3.84474501559196,1.64718045112782,0.230449513850585
"45",726,205,3.84474501559196,1.64718045112782,0.242574917429306
"46",726,205,3.84474501559196,1.64718045112782,0.242529055288446
"47",708,211,3.7124849016123,1.94413105799874,0.235957734243766
"48",708,211,3.7124849016123,1.94413105799874,0.243575379681066
"49",708,211,3.7124849016123,1.94413105799874,0.234669623781966
"50",708,222,3.7124849016123,2.35243051263533,0.250193061244374
