"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",728,240,6.32170223602639,2.64131154281016,0.223613865121027
"2",754,199,4.53056962957188,1.75128297723013,0.22873654769165
"3",754,199,4.53056962957188,1.75128297723013,0.22873654769165
"4",717,199,4.6046644160589,1.75128297723013,0.248649039877951
"5",690,214,4.39241734605686,1.75579650119095,0.227073080061654
"6",690,214,4.39241734605686,1.75579650119095,0.252881254090774
"7",690,214,4.39241734605686,1.75579650119095,0.234642941060488
"8",673,212,5.19823105281209,1.99304437756713,0.232731510148805
"9",673,212,5.19823105281209,1.99304437756713,0.230488393144062
"10",697,212,5.51576340360105,1.99304437756713,0.241689837383794
"11",694,223,4.38347132115463,1.87696822775332,0.246098986155849
"12",707,196,4.47743337122647,2.18005450607378,0.239744086267479
"13",707,201,4.47743337122647,1.76958272908493,0.235212071396837
"14",707,201,4.47743337122647,1.76958272908493,0.219622243070081
"15",707,201,4.47743337122647,1.76958272908493,0.23041830847313
"16",683,201,4.08914851060715,1.76958272908493,0.228594222547083
"17",683,188,4.08914851060715,2.06238489095969,0.228424822355304
"18",683,188,4.08914851060715,2.06238489095969,0.241580212179825
"19",683,188,4.08914851060715,2.06238489095969,0.226055534423735
"20",683,211,4.08914851060715,1.99612164766017,0.246449405734747
"21",672,200,3.77115894235773,2.03745145838904,0.232057920472457
"22",655,206,4.02929901630991,1.95792336318652,0.230430450732591
"23",655,206,4.02929901630991,1.95792336318652,0.245824688307581
"24",655,181,4.02929901630991,1.99201013589262,0.251702402675637
"25",635,181,4.13671350720657,1.99201013589262,0.263592949768505
"26",635,179,4.13671350720657,1.8185082205856,0.246308693338903
"27",635,179,4.13671350720657,1.8185082205856,0.226339904249645
"28",635,191,4.13671350720657,1.91163481046477,0.254381129756893
"29",635,191,4.13671350720657,1.91163481046477,0.234573323189293
"30",635,191,4.13671350720657,1.91163481046477,0.224088353110378
"31",635,191,4.13671350720657,1.91163481046477,0.235567064189304
"32",636,191,4.20953019945412,1.91163481046477,0.246890925663224
"33",608,188,4.56753215607564,1.65758577861444,0.225360254713174
"34",605,188,4.53179918349614,1.65758577861444,0.245059767481039
"35",605,188,4.53179918349614,1.65758577861444,0.240750116484178
"36",605,188,4.53179918349614,1.65758577861444,0.2316564375732
"37",595,180,4.48456795761783,1.61332674918557,0.249627709733764
"38",595,180,4.48456795761783,1.61332674918557,0.222931449227308
"39",595,180,4.48456795761783,1.61332674918557,0.235035996870875
"40",600,179,4.51788042327846,1.34498829479604,0.255049074072792
"41",600,179,4.51788042327846,1.34498829479604,0.241208779259779
"42",600,169,4.51788042327846,1.58034607535456,0.236785909709663
"43",604,169,4.65656147421779,1.58034607535456,0.233209896978604
"44",604,173,4.65656147421779,2.29774722520587,0.222869469387592
"45",604,190,4.65656147421779,2.0946733973298,0.262176844483346
"46",604,172,4.65656147421779,2.03318595646289,0.261594343638012
"47",604,172,4.65656147421779,2.03318595646289,0.247034504241602
"48",604,172,4.65656147421779,2.03318595646289,0.230416688369946
"49",604,172,4.65656147421779,2.03318595646289,0.233547928991837
"50",604,174,4.65656147421779,1.90900282730192,0.239099185471477
