"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",725,241,6.74427980488987,3.27676187239762,0.222796005601408
"2",740,236,5.37819514716053,2.13491863939636,0.246756817463365
"3",767,236,6.09731422781314,2.13491863939636,0.242095735977476
"4",787,229,5.65476488911387,1.66083244031564,0.2461830733413
"5",797,257,4.61326721514826,1.71009967567774,0.243629956614512
"6",797,257,4.61326721514826,1.71009967567774,0.232549070751079
"7",830,220,4.69625757177055,1.62350586926186,0.243245073005831
"8",830,288,4.69625757177055,1.66238895609478,0.25445709812543
"9",830,288,4.69625757177055,1.66238895609478,0.23372539494102
"10",830,248,4.69625757177055,2.00987283179018,0.237904952386461
"11",836,248,4.74952443906552,1.57745250298446,0.25450016910482
"12",836,239,4.74952443906552,1.80710839545163,0.241173011128515
"13",836,239,4.74952443906552,1.80710839545163,0.25228135477182
"14",836,239,4.74952443906552,1.80710839545163,0.251639972620963
"15",836,239,4.74952443906552,1.80710839545163,0.246555157333613
"16",856,239,5.95029414585004,1.80710839545163,0.254596787182027
"17",852,234,5.79163084124564,1.39876306928938,0.232037623289132
"18",832,234,5.99715056002684,1.39876306928938,0.232385936102658
"19",832,234,5.99715056002684,1.39876306928938,0.255713341768367
"20",829,234,5.14864974203907,1.39876306928938,0.228890409877098
"21",829,234,5.14864974203907,1.39876306928938,0.242022532187354
"22",833,234,5.32572983007636,1.39876306928938,0.241756150896971
"23",802,234,4.20513060389369,1.39876306928938,0.259259472378729
"24",802,234,4.20513060389369,1.39876306928938,0.259500237770366
"25",802,234,4.20513060389369,1.39876306928938,0.243452765960435
"26",802,234,4.20513060389369,1.39876306928938,0.224889657609679
"27",800,234,4.24561902825686,1.39876306928938,0.244489416614619
"28",777,234,4.31605161424189,1.39876306928938,0.238901056870781
"29",777,234,4.31605161424189,1.39876306928938,0.236008667461203
"30",777,234,4.31605161424189,1.39876306928938,0.256261946733616
"31",777,234,4.31605161424189,1.39876306928938,0.234045642811478
"32",777,234,4.31605161424189,1.39876306928938,0.24374654734948
"33",777,234,4.31605161424189,1.39876306928938,0.249936702145666
"34",777,234,4.31605161424189,1.39876306928938,0.261691256115227
"35",795,234,4.05648301243528,1.39876306928938,0.248491503485471
"36",822,234,4.05835881353525,1.39876306928938,0.242887498602459
"37",822,234,4.05835881353525,1.39876306928938,0.234219876931797
"38",810,234,4.04256556878967,1.39876306928938,0.237652526225057
"39",810,234,4.04256556878967,1.39876306928938,0.245953356366527
"40",810,244,4.04256556878967,2.21121014142537,0.22534986475553
"41",810,235,4.04256556878967,2.05288099704187,0.239318141029526
"42",810,235,4.04256556878967,2.05288099704187,0.229240465015765
"43",810,203,4.04256556878967,2.34462096660146,0.234079669383409
"44",810,220,4.04256556878967,1.56617770553197,0.243830000353329
"45",810,234,4.04256556878967,1.95842356849979,0.263648128264567
"46",808,234,5.24853805730423,1.95842356849979,0.250642042995283
"47",808,234,5.24853805730423,1.95842356849979,0.265250923597418
"48",808,234,5.24853805730423,1.95842356849979,0.245805882288377
"49",803,239,5.01637233290716,1.76412166780588,0.230251032402692
"50",819,241,4.80339453820221,1.61758252456891,0.243946913182898
