"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",752,177,16.0096146691687,2.26198021781396,0.109155196247799
"2",724,173,8.99936295587678,1.37824144883378,0.0939181713588397
"3",716,165,5.90898065410819,2.30309020999704,0.13464136389128
"4",715,168,7.31646511939672,1.46320650236052,0.143418515631869
"5",724,162,7.20812594029293,1.93770052297553,0.139328813119145
"6",732,159,4.73399114643305,1.47547272452009,0.168175476517868
"7",727,147,5.55784211651181,1.95167231091759,0.11282570736854
"8",687,164,7.60260324679747,1.70590126680895,0.120250733700439
"9",690,163,5.68309814242818,2.46814206842157,0.115942908125373
"10",681,167,6.17560352577212,1.5353869126043,0.122646968821677
"11",670,159,9.32770279022692,1.40663947163947,0.103411245072937
"12",658,147,6.63615266103363,1.50036779091818,0.108625429430215
"13",657,154,5.58786272990196,2.05258777547171,0.123409334101797
"14",646,151,5.4922472512914,1.42490909090909,0.112670169729307
"15",625,148,5.92383841868938,1.53424334592805,0.108691463638663
"16",613,137,5.34739518398911,1.68776089319927,0.129549549995415
"17",593,130,7.18296233193702,1.41952713819283,0.108667278687419
"18",579,145,7.21754563004763,1.78371569950517,0.115379416542843
"19",558,147,4.36514038017685,1.17917492103224,0.148600922947511
"20",536,135,10.7789624866023,1.74761985710766,0.115339408273633
"21",542,119,4.71681228697729,1.77760166757119,0.129213457104855
"22",520,120,7.86057101363576,2.43092834184156,0.107754222559439
"23",510,114,7.45648779569163,3.19911901624945,0.13945300217253
"24",492,112,6.41189794010751,2.1123524661175,0.0981875711609986
"25",474,112,6.21529990875036,2.26724021592443,0.128779526103597
"26",455,112,8.51887432632958,1.73211704691456,0.115096794718926
"27",452,105,6.89068219772986,1.94269816939276,0.115880102489313
"28",444,101,8.46461371613695,1.1898171375647,0.110211573980498
"29",427,109,5.96905537186877,1.6467854982996,0.102497425494752
"30",426,101,6.40399127436624,3.0930853106793,0.112342504183934
"31",411,101,6.75548698391402,2.47761961488405,0.119971727685231
"32",405,84,6.9331118627597,2.8577204471215,0.109319664488242
"33",379,96,6.87635058329077,1.39555555555556,0.117389206210626
"34",369,85,5.14816498895368,2.03206575963719,0.100697974492693
"35",361,76,6.39382936461167,2.34709214554631,0.0935197965583578
"36",338,80,7.65149961073468,1.29949178193081,0.0935197965583578
"37",327,75,6.1957394745317,3.18049928579453,0.105490267852783
"38",305,75,6.9247422558783,1.89521289742726,0.102088848158737
"39",292,71,6.37988059701492,2.61772104018913,0.116639629087898
"40",282,66,6.18233777964332,2.02262984247653,0.0856620539228324
"41",267,66,6.27374384100486,3.18310546596261,0.133574624959229
"42",256,65,9.1312309583517,3.17109445277361,0.0843864802789926
"43",251,56,9.54964124126729,3.02403075512686,0.107477298320084
"44",236,58,8.94391366606825,1.20222511114321,0.0850528646166402
"45",227,57,8.71441678847317,2.65724023904967,0.101913104365857
"46",215,55,6.6463803516111,4.26059810874705,0.110093837896592
"47",207,50,7.2755844242706,2.62212847255651,0.105660205143608
