"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",776,158,14.5993003176266,2.32883987452838,0.105806253611472
"2",709,182,3.10143076999069,1.85193108200822,0.11178964638528
"3",701,176,4.97677611095162,1.98162419411325,0.129730889292508
"4",710,155,5.12602418527723,2.67283213319965,0.113706424974466
"5",700,147,5.10223552897901,1.76577782963021,0.157994610791929
"6",687,140,7.62236657535091,1.07607499500191,0.151163585048514
"7",633,152,5.02908464903187,1.77688257678211,0.122417960595806
"8",634,129,5.90062573186711,2.24197746695547,0.136607501384984
"9",587,146,3.65011265871736,2.40053090509082,0.110096987314367
"10",587,126,7.49992466782919,1.5885878916815,0.134788979668133
"11",556,124,5.29472810647432,1.94539728056261,0.115505942014843
"12",541,123,5.75186981034742,1.28222722887048,0.127565021024874
"13",530,113,6.9830365701092,1.96480459460672,0.118046559394143
"14",514,113,3.13214201022738,1.37378404382835,0.118046559394143
"15",493,113,5.6181320027916,1.37378404382835,0.116488630391425
"16",469,110,4.14143355642711,2.69672883718582,0.109651507334947
"17",452,106,5.93066881024401,1.50020154518135,0.138112726081878
"18",429,102,4.13955020705215,1.96480784943541,0.106498139478459
"19",419,97,5.21122195604168,2.76759577489702,0.120407805840433
"20",396,99,4.07241011734643,2.63919445827111,0.11563676190329
"21",382,90,5.46852217629826,1.4267680145941,0.110994558860359
"22",372,81,7.22693354264783,1.3632379038572,0.16484305929069
"23",351,84,5.56670422481615,2.79910446317278,0.119425181986765
"24",345,73,8.16519763395134,2.35766399609203,0.119333262633214
"25",321,79,6.23703042220219,2.071004863017,0.132424885662592
"26",321,78,6.23703042220219,2.22789442971972,0.0979324983330665
"27",312,76,4.43266330588323,2.40790703959561,0.147096399611242
"28",299,69,5.75727579133326,1.84821677647842,0.118087222726517
"29",281,66,5.67591876851941,2.65671754096931,0.122453546098556
"30",269,61,6.31732771472537,1.8367418774273,0.105533565299691
"31",249,63,4.95723089060266,3.27961249516529,0.095792783812197
"32",242,54,5.43528837153475,2.63467087318019,0.095792783812197
"33",226,50,6.4413141729729,2.66929512875859,0.103136256305604
"34",209,55,6.77166984686547,2.42437191181624,0.111321962278828
"35",200,49,6.2701459456106,3.48086962945713,0.117669552902075
