"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",745,210,7.58825117627023,1.21927946730272,0.109920936004916
"2",767,187,6.48260008053312,2.84796513491178,0.141651246114606
"3",719,212,4.9708911080201,2.14086663273127,0.102979547180446
"4",749,186,8.3364776147353,1.84877052554766,0.120006824428824
"5",727,190,8.45817034616378,2.19258271021547,0.100840074574484
"6",741,172,7.97121274224357,1.50379064034278,0.117791795603956
"7",722,200,7.78988850404307,2.48697089397089,0.109857171598868
"8",721,177,6.06341268307349,1.25772827664542,0.098146046716074
"9",697,177,10.7937914979019,1.25772827664542,0.119323363479993
"10",691,169,6.74955861717041,1.13397308266646,0.107871982459631
"11",671,188,7.7691413620033,1.54310652258697,0.0992140525475281
"12",662,180,4.24608093807671,1.86636907338186,0.100158574803605
"13",663,169,7.55879885053893,1.89367547415288,0.106182042668505
"14",666,158,6.26779285389382,2.38746667749225,0.1311203690139
"15",634,162,3.81676765015315,1.67715561676176,0.0807130023684453
"16",631,144,6.59451101955815,3.02517482517483,0.115166416372138
"17",616,156,5.98138513254289,1.9728531412565,0.138178152552579
"18",592,166,6.41161945857903,1.62936294971179,0.0992361699405635
"19",588,156,3.51613343221284,1.92367925084386,0.0916089859331149
"20",589,156,5.80171389624363,1.71211830160221,0.114958506760606
"21",587,147,7.25490795112464,1.84132355146287,0.134401357406579
"22",573,150,5.65257611516394,3.24587071598828,0.120069845995784
"23",557,148,5.98338101693574,2.44975532183252,0.113544493561399
"24",540,145,7.58592092832591,2.48012051931557,0.146891760353455
"25",534,143,6.28113692563653,3.36467211187708,0.11917402724446
"26",525,136,5.65051949764725,1.98130166221962,0.0987005553884149
"27",506,142,3.38436221554517,1.93944914980644,0.0805047469617688
"28",510,135,8.35985638411915,2.96740302051771,0.133624411413501
"29",494,134,7.84907494954083,1.46267364710761,0.108673370744789
"30",483,127,6.116579242016,2.25685314685315,0.0964169701868341
"31",484,121,7.69245988281388,2.265986973991,0.0904975379042902
"32",457,132,5.91134924391353,1.45704156712852,0.0904975379042902
"33",458,125,6.94205610578867,3.28166622590586,0.116302908777099
"34",461,110,8.63384957401764,2.71642352487554,0.119279168338532
"35",436,116,9.19025710566977,1.54735703321069,0.0841953401229425
"36",425,114,6.41689305615083,1.60561371961372,0.104310286699261
"37",420,109,5.60685278317308,3.21971176971177,0.0954298055129457
"38",411,109,5.88855803686683,2.28730382320152,0.0952756782929943
"39",404,108,8.61983210669238,3.01247443993329,0.113510239658332
"40",389,108,7.63602554914687,2.4490683695514,0.0997695564563327
"41",375,113,3.79972619816374,2.17494949759911,0.0997695564563327
"42",373,106,3.90890160977982,2.75828498866862,0.10488408550771
"43",371,99,5.59564441392962,4.14776119118976,0.101467277277932
"44",364,97,9.97374356442014,3.2250542329354,0.122976018882495
"45",356,97,9.64866012932311,2.73480525915309,0.0987718121580247
"46",354,92,5.90816658547097,3.50047992078187,0.100901489569803
"47",345,98,6.4128339854113,3.08845111917703,0.125294338550694
"48",342,90,7.54513580411984,2.13402762995216,0.0897823225795369
"49",332,92,8.94574606078887,1.05829756651825,0.119745288946114
"50",333,92,5.04776102077055,2.99971988795518,0.135577193496055
