"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",773,149,13.5924477247329,2.01431666619236,0.10888538639467
"2",722,167,6.22290217523023,1.7930512393927,0.100825287470167
"3",709,155,5.03979410602016,1.22621114557448,0.123774438829808
"4",702,151,5.46178125270068,2.46538539317104,0.12467111967815
"5",669,146,3.95682486398079,2.23920426457012,0.107996303893181
"6",673,135,5.31449338155062,1.82553902467029,0.135273301391693
"7",639,139,6.15126040641525,1.3232299890192,0.129876107390796
"8",612,140,5.84832761528118,1.93739870912803,0.111828531615413
"9",593,133,6.14859384616093,1.18411506859933,0.120135702543567
"10",554,135,7.48022583638479,1.49956904049927,0.129941316461408
"11",544,123,5.15411572847819,2.87039835786603,0.102901693032173
"12",534,116,5.54034122629758,1.85069264069264,0.134571954195171
"13",512,107,4.16594421295289,1.80755297157623,0.11179642163933
"14",490,104,5.27599358411451,2.63179474839146,0.114776371639646
"15",468,106,5.42541867596035,1.38956754664072,0.114776371639646
"16",455,106,5.28245841119513,2.0411237352773,0.114776371639646
"17",430,106,6.55766869353146,1.89181353779891,0.114776371639646
"18",415,97,6.26275638396496,1.9440421398932,0.107929432550245
"19",400,90,6.36420509480201,2.70251700680272,0.113204272947525
"20",383,87,6.53255207104829,1.73374051039475,0.105623278752826
"21",363,91,6.88317400771856,1.64573362660319,0.094620747462711
"22",349,86,5.36745760413674,2.7720891335793,0.100636386570241
"23",340,76,5.76658928336169,2.00115773115773,0.0966564438683606
"24",322,75,7.07909122839838,1.96112326436381,0.0966564438683606
"25",303,75,6.14665370914192,1.96112326436381,0.11529445049252
"26",290,69,5.45751468805615,1.97989620219983,0.105830016218762
"27",277,61,8.3659042221067,3.3345364228594,0.108966150187999
"28",260,62,4.06491572084038,1.58208998983047,0.10704193529954
"29",247,58,7.39104371065849,2.34412128871614,0.0950179140059518
"30",235,58,13.8091983854025,2.34412128871614,0.106960541646406
"31",222,52,10.6215393864228,3.82580278488207,0.115432368697732
"32",209,50,10.3512105444573,2.59275665221377,0.122134597584503
"33",198,48,10.549064558809,3.06461352657005,0.123492041188797
