"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",747,183,6.90718854706062,2.11546245059289,0.115492654132515
"2",747,145,4.32483241052801,1.18037447617314,0.143498597275313
"3",693,161,4.19964213027919,1.39046676658964,0.10137261278758
"4",661,163,7.15347405909987,1.65374943201783,0.128157331220863
"5",652,157,6.37352227758439,2.28607109818951,0.140263652700503
"6",625,150,3.58545462175731,1.62941924809266,0.142444045984164
"7",617,133,4.86635927936079,1.07407688229678,0.117763793307816
"8",592,122,5.34053600307029,1.49503444443315,0.138167138059745
"9",574,118,5.2524454406307,1.61942484732477,0.107352822985734
"10",542,120,4.5057460480847,1.22465673897973,0.113686238064644
"11",527,115,6.81432307581571,1.57204365428622,0.124181220504654
"12",502,121,7.85987739354868,1.94563694815464,0.155173954908864
"13",495,107,6.04901362963015,1.93112129598325,0.126637772208151
"14",468,104,3.76152234353714,1.46101413927183,0.0992201821451352
"15",440,107,5.46157144729538,1.24071623415168,0.137287062504609
"16",413,101,4.95979410920002,1.73545818966726,0.0961382069467176
"17",398,101,6.70267904178949,2.8629641872564,0.121684562018572
"18",384,92,5.55460263350534,1.58699336005694,0.118993722108766
"19",372,82,7.04058195175247,1.47756092160184,0.105426576377023
"20",347,77,10.0817209306347,1.78978619283892,0.124382795347841
"21",314,89,12.1605102392642,2.20150825504863,0.143406917346593
"22",312,70,12.7246252833628,3.09169366450387,0.119768600977149
"23",293,66,6.53718247531075,1.90669206015262,0.107977039760156
"24",272,61,8.77943290172553,1.26166148978789,0.0996476405701117
"25",272,60,8.77943290172553,3.79910361494166,0.123378253373588
"26",250,60,11.8663786321621,3.15601142613168,0.116020258481533
"27",234,59,11.5541878597593,2.75443108882349,0.108240802981457
"28",220,57,15.5405010378112,5.0486594926732,0.104563806084596
"29",220,68,15.5405010378112,4.30288142508124,0.131366759049299
"30",216,56,40.3087731697343,16.2428000800359,0.125882115471756
"31",203,51,20.1701827194322,4.57550819911482,0.111116209897604
