"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",739,204,5.35722919738655,2.03818945760122,0.145499764633743
"2",770,198,2.41741983125425,1.35562625370024,0.152012174881546
"3",767,185,4.26155719984423,1.47223497601339,0.0887349172260781
"4",771,186,2.84450285433134,1.26580858680065,0.102116302709163
"5",781,171,2.64039916692171,1.35498130173679,0.0968877456535029
"6",744,191,3.06993433655432,1.4702442380461,0.0863161073256083
"7",733,177,3.01288365243005,1.75594405422853,0.0871855140714151
"8",719,177,2.82827575304748,1.184949979992,0.0860186225915183
"9",725,184,3.73308883768376,1.19239399907889,0.0983435694581391
"10",706,181,2.78167740768846,1.65987573102294,0.0813825193891367
"11",714,160,2.60264740557266,1.75479333739555,0.0961609910464701
"12",699,172,3.0129026527352,1.5788356132967,0.105545739581754
"13",697,169,3.55893786875243,0.948300405192988,0.07336134868273
"14",683,161,2.28906544718044,1.72393214693634,0.0592010054762546
"15",692,160,2.65882115860658,1.69636353149657,0.103389458306449
"16",687,158,3.44531579023698,1.82815932911415,0.0991847697760253
"17",681,166,2.73849364505171,1.70506422081028,0.0979200279615888
"18",694,150,2.37262637605557,1.32116883116883,0.0759643966607216
"19",658,160,3.69631854039397,1.49291060115288,0.080241550431107
"20",651,159,2.85051116977984,1.57903841591992,0.0691401499463924
"21",621,151,3.59399332481006,1.71332085561497,0.0850069612074757
"22",614,154,3.01945299601614,1.67486142600645,0.0745412847222167
"23",622,144,3.45688364557713,1.46165371809101,0.0723579950895774
"24",620,137,3.75300059184411,1.19661903328286,0.0723579950895774
"25",595,145,3.66752187031678,1.98240774667054,0.0907696604398207
"26",601,155,6.47159483512678,2.43610250604307,0.0867857199103278
"27",609,143,2.54664857377658,1.46056754989989,0.109244625001417
"28",609,153,2.54664857377658,1.57953395623984,0.102482849132503
"29",586,159,3.45289908662975,1.20435574229692,0.0747337105734634
"30",601,136,2.70952895353945,1.61781581931018,0.0974793364558943
"31",584,148,4.58899124724606,1.55840507705339,0.1064749343344
"32",577,150,3.47686608033559,1.14144680851064,0.0856182572228782
"33",579,133,2.47991783576696,1.21261831048209,0.0974170176222351
"34",578,137,2.32805762916264,1.83949952043737,0.081848494391615
"35",577,125,3.23781109744963,1.61803767430264,0.0662462814543763
"36",558,137,3.3649213394582,1.52047644000223,0.10984307856759
"37",559,138,3.63894020695272,1.75146268890455,0.0746130165560943
"38",543,142,2.66846124660725,1.9247028693274,0.0876799257998986
"39",529,139,2.90400714924066,1.43272883116655,0.0722526441682225
"40",534,131,3.63246403546687,1.30905747569077,0.0808067655274098
"41",533,124,3.71384332646265,1.19923960197911,0.0925605193773546
"42",531,131,3.5743458399635,1.71428132381479,0.113170107731449
"43",521,128,4.50632109724785,1.45778738750216,0.0658194375261905
"44",517,119,3.57206182435858,1.44950162577787,0.0884764276280458
"45",489,125,2.71241965000689,1.60881562031307,0.0863092728705549
"46",495,118,3.54464164412041,1.45243854118309,0.114228533221339
"47",481,130,3.214170298326,2.07270791096878,0.118279380782648
"48",481,114,3.214170298326,1.67491849281323,0.0945388938061597
"49",473,123,3.37013658014718,1.5292121553163,0.0936464992224126
"50",473,111,2.74650475463482,1.43143211838116,0.0854771853129409
