"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",736,183,14.1955760217612,2.04712050304755,0.140805562499599
"2",710,211,6.83940761507694,2.57567258075917,0.150055639751984
"3",720,172,5.96103349707411,2.66568593791924,0.154147534654168
"4",681,172,6.06299965350838,2.83919214151789,0.105633137987515
"5",679,147,9.00208067555219,2.25100136112902,0.109801116440005
"6",635,149,8.39726581733468,1.90075061929485,0.0995869606342697
"7",603,152,7.54784240444334,2.029164504411,0.107207318100773
"8",583,137,11.9825466129703,1.10928267594401,0.124234848852859
"9",554,141,7.9737409673326,3.13779502862959,0.116552103218047
"10",562,120,6.28442455818578,2.33429461218314,0.121566269009724
"11",526,146,7.09122162390455,1.70393876491956,0.108968662637498
"12",541,123,8.11271841331233,1.83165116407416,0.0944971897311257
"13",512,131,5.77987686107526,2.08729662521233,0.112198104380448
"14",491,135,8.94930861229222,2.60397656803114,0.155414381883676
"15",495,119,6.99812100067909,3.48698101137953,0.130810355296843
"16",478,112,5.77161779905844,1.65211251025233,0.114226759277022
"17",451,112,6.67702122024569,2.02725687639097,0.108765356239034
"18",428,117,7.93644122864186,1.1225485995557,0.107343273786105
"19",423,105,6.65732926310434,3.14925110021612,0.10999279859757
"20",406,99,6.96989392577886,1.90026477229121,0.0949701375956378
"21",386,99,6.56072642034936,1.49741872626979,0.0976208668944479
"22",386,88,6.56072642034936,2.19895461737407,0.117600863131583
"23",370,90,10.6462050860255,2.3638411775441,0.145198353645479
"24",353,85,12.3680937588505,2.02730134607034,0.133705074896004
"25",334,83,8.70031987720702,1.87882609400252,0.124878242091479
"26",334,74,8.70031987720702,3.71930996899082,0.108807549436799
"27",313,76,8.13813121936992,1.71374659105926,0.117364814936317
"28",298,73,10.7980443985419,3.15716598387736,0.130679830759951
"29",281,72,14.9045871431397,5.64126779024326,0.117607914533475
"30",268,66,14.360614947564,4.06645249393543,0.117109607616442
"31",256,64,9.19753876084839,2.16707843231855,0.0961347966655927
"32",242,61,8.5333177562667,2.46656603773585,0.107830232692677
"33",227,60,13.1844888992552,2.68244680851064,0.103743264654378
"34",217,60,27.0842550726127,8.89684010820165,0.0982911384940118
"35",211,55,18.835334989085,5.06238129222874,0.123041560023492
"36",199,52,21.2621495748701,8.08063720676487,0.127434839057492
