"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",761,168,13.6096743097402,2.06633057205813,0.0820929260491492
"2",775,140,8.34409113972032,1.78360752178453,0.111863818453239
"3",753,146,6.5698170906981,1.59188240872451,0.106368353398279
"4",753,146,6.5698170906981,2.02605223131539,0.115607128606776
"5",737,146,7.35880945362801,1.20755047395914,0.1157519487182
"6",720,151,8.67005201940696,1.76925994820732,0.095501206879164
"7",715,152,5.20638947843975,1.91051051051051,0.127818570813724
"8",735,139,5.44656963164066,1.43745858833129,0.14601460814284
"9",717,126,10.5864913891657,1.50050611562165,0.123410397631648
"10",688,134,6.76147141274875,1.26142584909887,0.111197256698321
"11",679,147,8.3264479858873,1.31537304800463,0.117696991828334
"12",679,136,8.3264479858873,1.47927339490375,0.108594893708141
"13",678,115,6.7740804913499,1.77312329635102,0.113120702992836
"14",655,124,5.83580798105177,1.79252499973032,0.107144551979667
"15",654,113,8.73817783517482,1.40581443077397,0.104248675617831
"16",636,116,5.5018018238253,1.51294489535976,0.106454917346261
"17",636,113,5.5018018238253,1.4571069951301,0.120708876000567
"18",623,140,9.07102743675286,1.61745704069558,0.147417003710403
"19",623,112,8.93399672113662,1.51271796782147,0.121419302914751
"20",627,110,6.29796451704703,1.99140786749482,0.113616645796724
"21",613,109,6.87390835586896,1.67459656826242,0.105008781351714
"22",588,102,6.12447717138618,1.39778177756306,0.0808432681915624
"23",563,102,6.67210282908577,1.39778177756306,0.122760621705673
"24",550,114,8.22839672729753,1.3615873015873,0.124892751988774
"25",535,106,7.68757168525356,1.40239431749418,0.0872887403139795
"26",527,110,8.11399857093604,2.19937241477678,0.0872887403139795
"27",533,103,7.63960115591744,1.82396913170982,0.11283074324461
"28",510,112,7.77719981340872,1.75663668976362,0.112884005529308
"29",508,103,9.10170238975117,2.59055539590159,0.122153462831018
"30",504,99,6.24540575833717,2.06047032474804,0.121809388465289
"31",488,111,6.68917921111848,1.90970674234606,0.120521664585075
"32",492,92,7.07125649367203,2.33080778671372,0.11778564508318
"33",473,95,8.2301379520425,1.36069210026965,0.114359791946094
"34",465,86,7.27417391448156,2.64224880382775,0.107344043673392
"35",465,81,7.27417391448156,1.80286692340608,0.103574285435632
"36",441,89,6.72014889884424,2.04543517885623,0.0923618874590233
"37",435,78,8.74572585542268,1.51723673862783,0.105515103297955
"38",421,93,8.05374232757442,2.143661364714,0.109441940790277
"39",422,79,8.77246842585705,1.55347964382679,0.120710784910093
"40",401,83,7.46702634471238,1.75056623179527,0.125044753795983
"41",384,80,7.99335657281527,2.06320429697432,0.0918918335993457
"42",368,82,8.71377502936351,1.08710312366282,0.115659086175467
"43",367,76,7.83019642393256,1.69788067030364,0.111948850580602
"44",369,67,8.06277735475093,1.8178833565987,0.111948850580602
"45",349,66,10.4033771629384,3.1075976654924,0.0956464063623433
"46",343,67,8.98570470124117,2.53879821504982,0.110481804713888
"47",328,65,9.87987777618983,1.79379921071058,0.0885817748339071
"48",318,58,10.6698703184041,3.39790740206897,0.105068594765965
"49",307,58,6.32017977721583,1.78303388408652,0.102159549253909
"50",296,57,6.93427645836286,2.59007744244666,0.108007901495935
