"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",771,156,10.153745600722,1.83893217893218,0.144581330170046
"2",727,165,6.09696057895238,1.71921078921079,0.142606112242635
"3",679,160,5.49182929967303,2.1512225617134,0.12613486694873
"4",635,156,6.11038340626754,1.81670123016149,0.131608839745434
"5",603,145,7.44931736097817,2.3383672449024,0.110401434206269
"6",582,145,6.90542164231457,1.87971997415478,0.153076140873375
"7",571,121,4.53037378563041,3.05003786342123,0.129650640255907
"8",529,128,5.67471480207427,1.97487394375266,0.136284202493422
"9",507,112,7.99278600052603,1.4166211396439,0.112297580725637
"10",482,112,6.01100371721335,3.20411919273019,0.124835100481021
"11",445,117,6.01134713224425,2.42295104583515,0.157020099989838
"12",427,98,8.04757871211282,3.22036234525975,0.119518231938055
"13",401,88,6.15666875315589,2.31073135575787,0.115527485282899
"14",372,88,7.2382683045778,2.33914084681892,0.110898097381516
"15",349,91,8.12883306931158,2.89622506283931,0.136358736306026
"16",341,74,7.7368737124146,2.30224062571889,0.143343358047142
"17",321,75,8.53535427899764,1.58762121570675,0.112585618462346
"18",303,71,16.5002492197883,7.39738169576863,0.141334420481639
"19",284,72,10.6004753050956,5.84258370943477,0.103599262895283
"20",264,65,9.78771079120056,3.46585727497367,0.114548652895422
"21",248,56,14.7058603204949,4.59894424624297,0.102608112799552
"22",231,54,9.55073971346407,3.14497104096238,0.12258366111156
"23",209,56,12.4980803901286,3.3481345868382,0.107287834556733
"24",199,56,23.9962913056525,3.3481345868382,0.127354403736454
"25",192,56,33.2213435735829,3.3481345868382,0.129231299882592
