"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",791,139,8.08297858309801,2.07262370286938,0.119289373705628
"2",763,146,4.98316052322839,1.76978855674946,0.102541595559054
"3",752,149,3.98841956835304,1.61983251210913,0.137158300403186
"4",733,146,5.73057568004772,1.36723780129363,0.121325125198659
"5",718,129,4.2634701508517,2.10476710233871,0.0947930739544256
"6",686,135,7.10047434162038,2.07993234000074,0.0938753693470504
"7",675,158,6.86091214625939,2.05409468438538,0.158045092323803
"8",663,148,3.90740258045617,1.26913330697789,0.0950497500534347
"9",658,128,4.93803161327566,1.65979328165375,0.107853461789048
"10",672,133,6.73089354613826,1.81369118038594,0.197965030244102
"11",670,131,4.15895479934437,2.12135771728795,0.112976527118439
"12",661,113,6.70311497630808,1.85900203254301,0.107592721575834
"13",630,121,3.37350024921012,1.72231010133486,0.0999940394996594
"14",609,110,4.68893357818102,1.71739580360037,0.113924149525501
"15",591,101,6.69992151033481,2.38181903081959,0.108835521489217
"16",564,98,4.1420759543166,2.166454629943,0.122151862222165
"17",531,111,4.17835564503584,1.70481662384394,0.086708316311868
"18",522,104,5.1253624163205,1.61098500493849,0.086708788343333
"19",515,99,5.327940848166,1.72629986764984,0.100351561219384
"20",498,102,6.38906237153673,1.52970370083193,0.121359611257933
"21",480,96,6.53667475550297,2.08944001734699,0.0876173363509932
"22",466,88,6.59448998357143,1.45617469994101,0.0876173363509932
"23",459,82,7.63235845293752,1.72088911195671,0.10480137108135
"24",443,89,6.25447983535719,1.77787001007881,0.10480137108135
"25",431,81,7.84484245568256,2.12988670244484,0.103110981789966
"26",423,79,5.59882440947023,2.27746690583967,0.105345036010107
"27",398,79,7.22629280991215,1.78580616445978,0.109941516138657
"28",385,71,4.64264275881451,1.90242698183708,0.102928054237296
"29",369,67,6.91460345416303,2.25474129297875,0.0917275413328586
"30",352,68,7.48435743964022,2.17815430047988,0.11236025056596
"31",338,69,7.09207901065778,1.42697567439485,0.135183597291087
"32",321,66,6.9706948137269,1.85633578657722,0.103746644574617
"33",303,71,6.54556392952798,2.16366076666133,0.0952435359078147
"34",302,58,12.6205586869481,4.8023074344827,0.0952474595916684
"35",293,64,12.241776517287,2.22555630150277,0.109008340009638
"36",289,56,8.57534558289788,1.61656223400977,0.123848295322135
"37",289,62,8.57534558289788,2.59067511160534,0.0986294185328002
"38",287,58,14.0493640924828,2.51565292745951,0.115792506343653
"39",271,54,11.9187127393493,2.40644923425978,0.104461777204363
"40",260,60,20.7336711376403,2.14910850063849,0.0866318103926496
"41",258,48,11.3172265235303,2.61165221007902,0.0846694938463787
"42",245,58,10.7241603593794,2.41891064871481,0.105449112443285
"43",242,52,6.46020244729316,2.20074754928325,0.103898182388554
"44",232,52,9.94357085161838,1.82563448065192,0.0996720890888882
"45",222,53,19.5268103837592,3.87234068257324,0.0897056861038123
"46",219,43,15.7124814002387,4.52931065759637,0.0927927211128792
"47",208,43,24.9690100016674,4.9440807065878,0.0948772110597527
